customer_id,age,gender_male,kids_home,teens_home,household_children,number_complaints,distinct_stores_visited,customer_tenure_years,has_loyalty_card,promotion_purchase_rate,lifetime_total_distinct_products,total_lifetime_spend,avg_spend_per_product,spend_per_tenure_year,typical_hour_sin,typical_hour_cos,latitude,longitude,log1p_spend_groceries,share_spend_groceries,log1p_spend_electronics,share_spend_electronics,log1p_spend_vegetables,share_spend_vegetables,log1p_spend_nonalcohol_drinks,share_spend_nonalcohol_drinks,log1p_spend_alcohol_drinks,share_spend_alcohol_drinks,log1p_spend_meat,share_spend_meat,log1p_spend_fish,share_spend_fish,log1p_spend_hygiene,share_spend_hygiene,log1p_spend_videogames,share_spend_videogames,log1p_spend_petfood,share_spend_petfood
3,56,0,1,1,2,1,3,6,1,0.631598739079086,189,18590.0,98.35978835978835,3098.3333333333335,1.2246467991473532e-16,-1.0,38.79442787189893,-9.21573941941328,9.37007543009734,0.6310381925766542,8.423761246623686,0.24491662183969876,5.924255797414532,0.020064550833781603,5.780743515792329,0.017374932759548146,5.181783550292085,0.009521247982786444,3.367295829986474,0.001506186121570737,5.365976015021851,0.011457772996234534,6.315358001522335,0.029693383539537387,5.54907608489522,0.01377084454007531,5.953243334287785,0.020656266810112962
4,50,0,1,0,1,0,2,13,1,0.1498902493395143,130,20233.0,155.63846153846154,1556.3846153846155,1.2246467991473532e-16,-1.0,38.75171109471023,-9.17961146619482,9.524786081697178,0.6768151040379577,6.871091294610546,0.047595512281915685,7.607381425639791,0.09944150644985914,6.280395838960195,0.0263431028517768,4.564348191467836,0.004695299757821381,3.784189633918261,0.0021252409430138884,2.772588722239781,0.0007413631196560075,7.53955882930103,0.09291751099688628,5.811140992976701,0.016458261256363366,6.501289670540389,0.03286709830474967
5,54,1,0,0,0,1,2,21,0,0.0691255069323915,81,15549.0,191.96296296296296,740.4285714285714,0.258819045102521,-0.9659258262890682,38.7806775225494,-9.16065569234224,9.426096704856375,0.7979291272750659,0.0,0.0,6.320768294250582,0.03569361373721783,4.624972813284271,0.006495594571998199,4.77912349311153,0.007588912470255322,7.143617602704121,0.08135571419383883,5.6131281063880705,0.0175573991896585,6.230481447578482,0.03260659849508007,4.624972813284271,0.006495594571998199,5.407171771460119,0.014277445494887131
7,43,1,0,0,0,2,1,5,1,0.253609260797035,92,14952.0,162.52173913043478,2990.4,-1.0,-1.8369701987210297e-16,38.7395484361888,-9.14867873262084,8.921857979353632,0.5011369716425896,7.00850518208228,0.0739031567683253,4.442651256490317,0.0056179775280898875,6.630683385642372,0.050628678437667204,7.033506484287697,0.07577581594435527,6.880384082186005,0.06500802568218299,6.988413181999592,0.07243178170144463,6.186208623900494,0.03243713215623328,7.4127640174265625,0.11075441412520064,5.220355825078324,0.012306046013911182
8,56,1,0,0,0,3,1,5,1,0.1865687348395157,6,25797.0,4299.5,5159.4,-0.9659258262890683,-0.25881904510252063,38.733071481512525,-9.18818784180837,9.125653563808989,0.35612668139706166,9.291182759820284,0.42024266387564446,5.942799375126701,0.014730395007171377,6.385194398997726,0.022948404853277513,6.577861357721047,0.027832693724076443,6.974478911025045,0.04140016280962903,6.923628628138427,0.039345660348102496,5.697093486505405,0.011512966624026049,7.138073034044347,0.04876536031321471,6.091309882077698,0.017095011047796257
9,57,0,1,1,2,1,6,15,1,0.1506456602849799,84,21331.0,253.9404761904762,1422.0666666666666,1.0,6.123233995736766e-17,38.73557687527516,-9.172423167155566,9.712992685053011,0.7749285078055412,7.053585727193677,0.05419342740612255,7.443663683115591,0.0800712577938212,6.008813185442595,0.019033331770662416,5.8971538676367405,0.0170174862875627,3.332204510175204,0.0012657634428765647,4.343805421853684,0.0035628896910599598,6.2422232654551655,0.02404950541465473,5.420534999272286,0.010548028690638039,5.793013608384144,0.015329801697060616
10,54,1,2,1,3,0,1,12,1,0.2754122773297123,202,31830.0,157.5742574257426,2652.5,0.7071067811865476,-0.7071067811865475,38.73032247703208,-9.144022385203078,10.009692711382444,0.6987119070059692,7.293697720601438,0.046182846371347785,7.158513997329321,0.040339302544769085,6.289715570908998,0.01690229343386742,7.58629630715272,0.06189129751806472,7.242797922793756,0.04388941250392711,7.452402451223638,0.05413132265158655,6.787844982309579,0.027835375431982407,5.318119993844216,0.006377631165567075,4.787491742782046,0.00373861137291863
11,48,1,1,1,2,1,6,9,1,0.1642509924715683,180,37638.0,209.1,4182.0,0.49999999999999994,-0.8660254037844387,38.739327834608034,-9.225046721736746,10.301122081529105,0.7908231043094744,7.342131730584722,0.04099580211488389,5.25227342804663,0.00504808969658324,6.021023349349527,0.010919815080503745,6.464588303689961,0.017030660502683457,6.77078942390898,0.023141505924863172,6.595780513961311,0.01942186088527552,7.123672785204607,0.03294542749349062,7.52294091807237,0.0491258834156969,5.986452005284438,0.010547850576544981
12,25,0,0,0,0,0,2,8,0,0.2545251725375229,29,12814.0,441.86206896551727,1601.75,-1.0,-1.8369701987210297e-16,38.74861570702996,-9.167756169633098,9.135832319801121,0.7242859372561261,5.541263545158426,0.019822069611362573,4.836281906951478,0.00975495551740284,4.110873864173311,0.004682378648353363,7.346010209913293,0.120883408771656,4.941642422609304,0.010847510535351958,6.395261598115449,0.04666770719525519,6.513230110912307,0.052520680505696894,4.276666119016055,0.005540814733884814,4.174387269895637,0.004994537224910255
14,77,1,1,0,1,1,3,9,1,0.1973528031772604,57,14548.0,255.2280701754386,1616.4444444444443,1.2246467991473532e-16,-1.0,38.78881949407391,-9.184157680069834,8.984944285608679,0.548597745394556,7.674152921281675,0.14785537530932086,7.414572881350589,0.1140362936486115,6.684611727667927,0.05492163871322519,4.836281906951478,0.008592246356887545,5.003946305945459,0.010173219686554854,3.2188758248682006,0.0016497113005224085,7.2399325913204695,0.0957519934011548,5.187385805840755,0.012235358812207863,4.51085950651685,0.006186417376959032
15,77,1,0,1,1,0,3,12,1,0.1113161982340499,154,13570.0,88.11688311688312,1130.8333333333333,0.9659258262890683,-0.25881904510252063,38.760359275134725,-9.07835954778907,8.887100204123687,0.5333087693441415,6.3835066348840055,0.04355195283714075,7.4999765409521215,0.13316138540899042,6.230481447578482,0.037361827560795875,3.7612001156935624,0.0030950626381724394,5.720311776607412,0.022402358142962417,5.176149732573829,0.01296978629329403,7.746300662231439,0.17037582903463522,5.0369526024136295,0.011274871039056743,6.091309882077698,0.03249815770081061
16,25,0,0,0,0,1,7,5,1,1.0,37,15139.0,409.1621621621622,3027.8,-0.7071067811865471,-0.7071067811865479,38.78541245732896,-9.152032204165351,9.31542084842669,0.733668009776075,4.6913478822291435,0.0071338925952837045,6.431331081933479,0.04095382786181386,5.093750200806762,0.010700838892925557,5.209486152841421,0.01202193011427439,6.9985096422506015,0.07226368980778122,6.1903154058531475,0.03216857123984411,6.410174881966167,0.04009511856793711,4.499809670330265,0.005878855935002312,6.52795791762255,0.045115265209062685
18,28,1,0,1,1,2,1,8,1,0.4091402734153587,134,28953.0,216.06716417910448,3619.125,-0.8660254037844386,0.5000000000000001,38.74600841010293,-9.15622923060766,9.258273025731485,0.36231133215901634,9.523178364309082,0.47221358753842435,4.653960350157523,0.003592028459917798,6.354370040797351,0.019825233999930924,6.559615237493242,0.024349808310019688,7.1308988302963465,0.04313888025420509,6.6039438246004725,0.02545504783614824,5.327876168789581,0.007080440714261044,6.504288173536645,0.02303733637274203,6.311734809152915,0.018996304355334507
19,78,0,1,2,3,3,3,19,1,0.157528602099963,65,15052.0,231.56923076923076,792.2105263157895,-0.9659258262890684,0.2588190451025203,38.78699922945693,-9.135196125512602,9.019785010255125,0.5490300292319957,7.415175109613295,0.11028434759500398,5.58724865840025,0.017672070156789794,5.991464547107982,0.02650810523518469,6.244166900663736,0.0341482859420675,6.932447891572509,0.06803082646824342,7.2485040723706105,0.09334307733191602,6.709304340258298,0.05441137390380016,5.1298987149230735,0.011161307467446186,6.280395838960195,0.035410576667552485
20,80,0,1,0,1,1,5,9,1,0.4308490612060748,253,40715.0,160.92885375494072,4523.888888888889,-0.8660254037844386,0.5000000000000001,38.75274681712484,-9.135250341406646,10.464388228934425,0.8607147243030824,4.3694478524670215,0.0019157558639322117,5.981414211254481,0.009701584182733636,6.342121418721152,0.013926071472430308,6.432940092739179,0.015252363993614147,6.90875477931522,0.024560972614515536,6.814542897259958,0.022350485079209136,7.353081920515432,0.038315117278644235,5.655991810819852,0.006999877195136927,5.545177444479562,0.006263048016701462
22,82,1,1,1,2,1,3,7,1,0.0320563109521218,205,21246.0,103.6390243902439,3035.1428571428573,-0.4999999999999997,-0.8660254037844388,38.75658242562309,-9.15436602277348,9.63782786411884,0.7216887884778311,6.784457062637643,0.04156076437917726,7.189922170745808,0.062364680410430196,6.313548046277095,0.025934293514073236,5.552959584921617,0.012096394615457027,4.770684624465665,0.005506918949449308,5.017279836814924,0.007060152499293985,7.629489916393995,0.09681822460698485,4.61512051684126,0.004706768332862657,6.161207321695077,0.022263014214440366
24,59,0,1,1,2,0,2,14,1,0.0660401921930587,139,26682.0,191.9568345323741,1905.857142857143,-0.9659258262890683,-0.25881904510252063,38.74710885689428,-9.186784838800778,9.916946572220285,0.7596881792969042,7.504942068396171,0.0680608650026235,7.6586995582682995,0.07937935686979987,6.230481447578482,0.019001574094895436,6.013715156042802,0.015291207555655498,3.713572066704308,0.0014991379956525,3.9889840465642745,0.001986357844239562,6.792344427470809,0.03335582040326812,5.476463551931511,0.008919871074132373,5.8377304471659395,0.012817629862828873
25,25,1,0,0,0,1,2,11,1,0.6532370294994334,61,13819.0,226.54098360655738,1256.2727272727273,0.8660254037844387,-0.4999999999999998,38.70758994916797,-9.161818002552854,9.085910293598007,0.638902959693176,5.846438775057725,0.024965627035241335,6.156978985585555,0.03408350821332947,4.804021044733257,0.008756060496417976,7.4133673356952405,0.11990737390549244,6.9363427358340495,0.07439033215138577,6.63200177739563,0.0548520153411969,4.5217885770490405,0.00658513640639699,6.16541785423142,0.03437296475866561,3.8066624897703196,0.0031840219986974455
26,34,1,2,1,3,1,4,7,1,0.2331716143295922,126,80542.0,639.2222222222222,11506.0,0.258819045102521,-0.9659258262890682,38.727745834323656,-9.185483625264848,11.18424082614052,0.8937697102133049,8.202756381655638,0.04531797074818107,4.844187086458591,0.0015644011819920041,6.582025138892826,0.008951851208065357,6.606650186198215,0.009175337091207072,6.278521424165844,0.0066052494350773506,6.825460036255307,0.011422611805020983,7.004881989712859,0.013669886518834894,5.594711379601839,0.0033274564823321993,6.214608098422191,0.006195525315984207
27,37,0,1,0,1,0,2,10,1,0.5625619630219125,16,14587.0,911.6875,1458.7,-0.5000000000000004,0.8660254037844384,38.777746595386375,-9.167540842777818,9.398312600278953,0.8272434359361075,5.616771097666572,0.018783848632343867,6.156978985585555,0.03228902447384657,4.836281906951478,0.00856927401110578,5.181783550292085,0.012134091999725783,6.699500340161678,0.055597449784054294,5.062595033026967,0.010763008157948858,5.497168225293202,0.016658668677589635,3.970291913552122,0.003564817988620004,5.351858133476067,0.014396380338657708
28,34,1,2,1,3,2,1,6,1,0.6308553294317327,35,15766.0,450.45714285714286,2627.6666666666665,1.2246467991473532e-16,-1.0,38.74813760378645,-9.156526394540954,9.194515821629212,0.6242547253583661,7.684324067681155,0.13782823798046429,5.7430031878094825,0.019725992642395027,5.267858159063328,0.012241532411518458,6.539585955617669,0.04382849169098059,6.0473721790462776,0.02676645946974502,6.340359303727752,0.035900038056577446,6.186208623900494,0.030762400101484205,6.663132695990803,0.04960040593682608,5.71042701737487,0.019091716351642776
29,66,0,1,0,1,0,5,15,1,0.5897405207838152,127,16759.0,131.96062992125985,1117.2666666666667,-0.4999999999999997,-0.8660254037844388,38.72716384639924,-9.2052703305056,9.233373071086755,0.6105376215764664,7.745002803515839,0.1377767169878871,5.82600010738045,0.0201682677964079,5.638354669333745,0.016707440778089385,6.39024066706535,0.035503311653439944,6.0844994130751715,0.026135210931439824,6.71174039505618,0.048988603138612086,6.97354301952014,0.06366728325079062,5.420534999272286,0.013425622053821827,6.12029741895095,0.02708992183304493
30,45,0,1,0,1,1,1,18,1,0.074966511144387,73,16430.0,225.06849315068493,912.7777777777778,0.7071067811865476,-0.7071067811865475,38.754215503038,-9.17366872422114,9.081824949740755,0.5351795496043822,8.097426298597213,0.19993913572732805,7.705262474866325,0.13505782105903835,6.169610732491456,0.02903225806451613,5.641907070938114,0.01710286062081558,3.7612001156935624,0.002556299452221546,6.238324625039508,0.031101643335362143,6.419994928147142,0.03730979914790018,5.093750200806762,0.009860012172854534,3.871201010907891,0.002860620815581254
