column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
age,33038.0,54.44845329620437,18.025241620329044,24.0,24.0,27.0,39.0,54.0,70.0,83.0,85.0,86.0
customer_tenure_years,33038.0,11.078636721351172,4.506588631801648,0.0,1.0,5.0,8.0,11.0,14.0,19.0,22.0,33.0
kids_home,33038.0,1.1149585325988256,1.1444851056840357,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,8.0
teens_home,33038.0,0.899903141836673,0.9581549731488967,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,6.0
number_complaints,33038.0,0.9322295538470852,0.8857155259727738,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,7.0
distinct_stores_visited,33038.0,3.166263090986137,1.665815334396667,1.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,10.0
lifetime_total_distinct_products,33038.0,148.914643743568,105.92290732734905,0.0,4.3700000000000045,20.0,67.0,123.0,210.0,357.0,448.0,600.0
percentage_of_products_bought_promotion,33038.0,0.3382314643002899,0.26105590120689265,4.507807264464425e-06,0.01330879497513635,0.04980362229103325,0.1464300694016554,0.2545251725375229,0.4651996615014558,0.9347512940091766,1.0,1.0
total_lifetime_spend,33038.0,23706.236031236756,13360.280885837348,2174.0,5744.11,8761.7,14482.0,20269.0,29163.0,50810.59999999995,69415.04000000001,116366.0
avg_spend_per_product,33038.0,340.99964209674584,1156.270069709753,10.645038167938932,35.34519502617801,59.518347495527735,113.32518592677346,173.02554114817525,279.5314355099838,833.7763157894731,3286.7230000000022,94217.0
spend_per_tenure_year,33038.0,2759.694133850999,3755.803436772317,132.78947368421052,453.3008823529412,727.6692307692308,1344.739898989899,2013.888888888889,3029.25,5997.44833333331,17557.67000000001,105318.0
latitude,33038.0,38.74969359246253,0.022497579158961598,38.68798655369376,38.701653019477085,38.71227964876602,38.73407864768674,38.74828599470156,38.76577949688588,38.78567008558066,38.80261525193211,38.82369346468365
longitude,33038.0,-9.154549063726972,0.028580575187772503,-9.232988550406722,-9.21010016077016,-9.194741561711206,-9.173732032512417,-9.156689497763404,-9.139608387558512,-9.102094317535414,-9.067352590646088,-9.035696791232676
